"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"56734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
